	sentiment	review
4362	1	5. Right of Access, Modification and Deletion of Your Information
2969	0	We will not sell, trade, rent or disclose any of the personal information you provide to us for any reason, without your prior consent. Otherwise, your Personal Information will only be disclosed where required or allowable by law. We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers for the purposes outlined above.
974	0	NHN, Inc. Outsourcing of SMS text messaging
2091	0	Alexadra Games will store your personal data for as long as necessary in order to provide you with the App or otherwise fulfil the purposes as described above, unless further storage is required in order to establish, exercise or defend a legal claim or to comply with applicable law, including accounting rules.
4399	0	5(C) Responding to Legal Requests and Preventing Harm
3519	1	② In accordance with the restrictions and requirements under the relevant laws and regulations, the Members may exercise their rights relating to their personal data against the Company. For example, in Korea, a Member may request the Company to suspend its processing of his/her personal data, delete his/her personal data, and/or revoke consent to the Company’s collection/use of his/her personal data.
920	1	You can opt-out from InMobi service by following the instructions as described on the InMobi Opt-out page: http://www.inmobi.com/page/opt-out/
1402	1	WITHDRAWAL OF YOUR CONSENT AND CLOSING DOWN OF YOUR ACCOUNT
3531	1	You have the right to ask us not to process your personal information for marketing, analytics or other purposes.
4718	1	You may also request that Uber provide you with explanation, copies or correction of your data.
2271	0	Affiliated companies within our corporate family: We may share your personal information with our affiliated companies so that we best provide you with the requested service as well as information about other travel-related products and services. All parts of our company provide similar protection measures for your personal information that are no less stringent than this Privacy Statement.
2527	1	the personal data have been collected in relation to the offer of information society services.
1731	0	Should you request so by informing us on privacy@outfit7.com, we will send you all the updates of this Privacy Policy to your e-mail. We will also inform you about any material updates of our Privacy Policy with an in-app banner and a link.
1775	1	Once you register to our Services and/or purchase one of our products, Ubisoft will send you promotional communications about its own products and Services that you may be interested in by email. Along with every communication sent to you, Ubisoft gives you the opportunity to discontinue receiving future communications from Ubisoft.
2182	0	We collect data you give us voluntarily (for example, when you choose your problem areas or send us an email). We also may receive data about you from third parties (for example, when you sign in via Facebook). Finally, we collect data automatically (for example, your IP address).
4923	0	This policy describes how Uber and its affiliates collect and use personal information to provide our services. This policy applies to all users of our apps, websites, features or other services anywhere in the world, unless covered by a separate privacy policy such as the Uber Freight Privacy Policy. This policy specifically applies to:Riders: users who request or receive transportation
2542	1	You have the right to obtain restriction of processing in certain circumstances, in accordance with Article 18 of the GDPR. If you have the right to restriction, we will only process your Personal Data with your consent or for the establishment, exercise or defense of a legal claim or to protect a person or important grounds of public interest
1434	0	In addition, we may ask you to submit and we may process data that is personal to you, including but not limited to your name, profile photo, gender, age or birthday, links to your profiles on social networking websites and other third party sites, user names and e-mail and mail addresses.
2347	0	Grounds for retention: Protection of Communication Secrets Act
4499	0	sending private messages or invitations to other players
2778	0	Researchers and academics.
3772	0	If you are a California resident, California Civil Code Section 1798.83 provides you with the right to request certain information regarding disclosure of your Personal Information to third parties for direct marketing purposes, including a description of the categories of Personal Information disclosed. We do not share your Personal Information with third parties for their marketing purposes.
3079	0	You understand and agree that we may be required to disclose any personal information if required to do so by law or in the good faith belief that such disclosure is reasonably necessary to avoid liability, to comply with legal process, including but not limited to a search warrant, subpoena, statute, or court order, or to protect our rights and property, or that of the public.
4778	1	Users in the EU have the right to object to Uber's processing of personal data, including for marketing purposes based on profiling and/or automated decision making. Uber may continue to process your information notwithstanding the objection to the extent permitted under GDPR.
4530	0	We use third parties to help us operate and improve our Services. These third parties assist us with various tasks, including hosting and maintenance, on-going development, analytics, customer care, marketing, advertising. We may also share information with advertising partners who distribute advertising in our Services.
733	1	You have the right to access your Personal Information. This includes the right to be informed whether or not your Personal Information is being processed, what Personal Information is being processed, and the purpose of the processing. You also have a right, upon your request, to access information about any evaluation or assessment of the balancing test we are required to conduct when we process your Personal Information based on our legitimate interest. Furthermore, you have the right to rectify or add your Personal Information if such Personal Information is inaccurate or incomplete.As soon as we become aware of any inaccurate information being processed, we will always rectify such Personal Information without undue delay and notify you accordingly. If you have created a DoubleUGames account, you can access, change and delete some of the Personal Information provided on your profile by logging into your DoubleUGames account.
2596	0	The legitimate interest we rely on for this processing is our interest to promote our Service in a measured and appropriate way.
138	1	Furthermore, you have the right to obtain a copy of the personal data undergoing processing. Please note that the access may be restricted due to intellectual property or trade secrets.
1168	0	Some third-party services that we use to provide the Service, such as Google Analytics, may place their own cookies in your browser. This Privacy Policy covers use of cookies by Medium only and not the use of cookies by third parties.
5277	0	In particular, if we transfer personal data originating from the EEA to countries with not adequate level of data protection, we use one of the following legal bases: (i) Standard Contractual Clauses approved by the European Commission (details available here), or (ii) the EU-U.S. Privacy Shield Framework (details available here), or (iii) the European Commission adequacy decisions about certain countries (details available here).
5466	1	Through your account settings for the Service, you may access, edit, or delete Information you’ve provided and your record of interactions with the Service. Such Information and interactions, and your ability to update them, will vary based on the Service.
849	1	Change or Correct Data. Where you cannot update data by yourself through your account, you have the right to ask us to correct change, update or rectify your data.
2201	1	the recipients or categories of recipient to whom the personal data have been or will be disclosed
566	0	Last updated: May 23, 2018
2374	1	You may opt-out of receiving promotional emails from us by following the instructions in those emails to unsubscribe, or by emailing support@crazymaplestudio.com. If you opt-out, we will still send you non-promotional emails, such as emails about your accounts or our ongoing business relations.
5079	1	the personal data have to be erased for compliance with a legal obligation in Union or Member State law,
2419	1	The right to data portability. If you wish to receive your personal data in a machine-readable format, you can do so by requesting a copy of your personal data as described above (or send respective request at support@betterme.tips). The data will be made available to you in the .json file format.
1935	1	You have the right to see what personally identifiable information we hold about you if you request it. If your request is particularly complex or requires detailed searching of our records, there may be a cost to you in order for us to provide you with this information. We will aim to respond to any requests within thirty (30) days of receipt.
1687	1	Accessing, Correcting, and Deleting Your Information
4549	1	We respond to all requests we receive from individuals wishing to exercise their data protection rights in accordance with applicable data protection laws.
4857	0	CXZH.LTD will not assume any responsibility for any of your personal information that is disclosed for your own reasons (for example, when you voluntarily disclose to other people your password or when you share your account with other people).
3733	0	We may pass to third party payment processors certain information that identifies you as the Game’s player along with information on whatever you have selected to purchase
4751	0	The security of user’s information is our utmost priority, and we take strict measures in order to protect the data from unauthorized access, use, disclosure or destruction of data. We have implemented physical, technical and administrative security measures for the Services that comply with applicable laws and industry standards. For example, we use firewalls, encryption technology and Network access designed to protect against fraud and identity theft; our data is only stored in centers that provide high-level security for user’s information.
1807	1	You are always free to opt out from the future collection of your personal information by OUTFIT7 in accordance with this Privacy Policy by uninstalling all the Apps from each of your computing devices.
4941	0	"This ""personal information"" is defined as information about you that can be used to contact or identify you."
1428	0	Monitoring: We monitor customer accounts to prevent, investigate and/or report fraud, terrorism, misrepresentation, security incidents or crime, in accordance with applicable law. Your phone conversations with our customer service staff, both answering our calls and calling us, may also be recorded. We may rely on these recordings to monitor the quality of our customer service, check the accuracy of the information you provide to prevent fraud, or serve the purpose of internal staff training.
1344	0	Your Personal Data collected through our Get in Touch forms will be deleted after 2 years from the date of receipt. Once we have deleted your Personal Data, you will not be able to exercise the right to access, the right to erasure, the right to rectification or the right to data portability.
4824	0	When you enter shipping information in the process of placing an order, we send it directly to the merchant bot developer. We can store your shipping information for you if you choose to save it for future purchases. We will delete this information immediately if you ask us to.
2515	0	Information we receive from third party sources:  Some third parties such as Facebook or Branch provide us with Personal Data about you, such as the following:Account information for third party services: If you interact with a third party service when using our Services, such as if you use a third party service to log-in to our Services (e.g., Facebook Connect), or if you share content from our Services through a third party social media service, the third party service will send us information about you, such as information from your public profile, if the third party service and your account settings allow such sharing. The information we receive will depend on the policies and your account settings with the third party service.
556	1	Marketing Communications. We do not require that you provide us with your email or any contact information to use our Services. But if you do provide us an email, from time to time you may receive marketing email messages from us consistent with your choices. If you no longer want to receive such emails from us on a going forward basis, you may opt-out via the “unsubscribe” link provided in each such email. Please be aware that, even after you opt out from receiving commercial messages from us, you may continue to receive necessary administrative messages regarding the Services.
4985	0	It probably goes without saying, but we’ll say it anyway: When you contact HOLLA Support or communicate with us in any other way, we’ll collect whatever information you volunteer.
